status_id,annotator1,annotator2,annotator3,lang,is_finnish,Notes
1252988476401820000,"","","","","",""
1252988502012240000,"","","","",NO FINN,""
1252989359806180000,"","","","",NO FINN,""
1252989962225700000,"","","",so,NO FINN,""
1252990578968720000,"","","",fi,"",""
1252992820706780000,"","","",fi,"",""
1252993339290520000,"",0,"",fi,"",""
1252994458938940000,"",-,"",fi,"",""
1252994541835230000,-,-,-,fi,"",""
1252995263750380000,"","","",fi,"",""
1252995468281420000,"",+,"",fi,"",""
1252996284107110000,"","","",fi,"",""
1252996559253440000,"",-,"",fi,"",""
1252999147772310000,"","","","","",""
1253000717574520000,0,0,0,fi,"",""
1253000724314760000,"",+,"",fi,"",""
1253000886156170000,"","","",fi,"",""
1253001352978010000,0,0,-,fi,"",""
1253001636252810000,"","","","","",""
1253001919439800000,"","","",fi,"",""
1253002237988810000,"","","",hi-Latn,"",""
1253002342796070000,"","","",fi,"",""
1253003245871670000,"","","",fi,"",""
1253003379779030000,"","","",fi,"",""
1253004160338980000,"",+,"",fi,"",""
1253004583389060000,"",-,"",fi,"",""
1253004688523510000,"","","",fi,"",""
1253006461707400000,"","","",fi,"",""
1253007142455520000,"","","",fi,"",""
1253007546945810000,"","","",fi,"",""
1253009546504740000,+,+,+,fi,"",""
1253009807159840000,"",-,"",fi,"",""
1253009915918120000,-,-,-,fi,"",""
1253013597678080000,"","","",fi,"",""
1253013655622500000,"","","",fi,"",""
1253014417144500000,"",+,"",fi,"",sarcasm
1253014594404190000,-,-,-,fi,"",""
1253014712331260000,"","","",fi,"",""
1253015461903710000,"",-,"",fi,"",""
1253015521592860000,"","","",fi,"",""
1253016825140600000,"","","",fi,"",""
1253017177944450000,"","","",fi,"",""
1253018324604200000,"","","",fi,"",""
1253018882094380000,"",+,"",fi,"",""
1253019564767690000,"",0,"",fi,"",""
1253021393010200000,"","","",fi,"",""
1253022185997940000,"",-,"",fi,"",sarcasm
1253023111869590000,"",+,"",fi,"",""
1253023631480890000,"","","",fi,"",""
1253024182964810000,"","",-,fi,"",""
1253025514018790000,"","","",fi,"",""
1253025780180960000,"","","",fi,"",""
1253025790779960000,"","","",fi,"",""
1253026568861110000,-,"",-,fi,"",""
1253026633579140000,"","","",fi,"",""
1253027640946150000,"","","",bg-Latn,"",""
1253028094740320000,"","","","",NO FINN,""
1253028340107290000,"","","",fi,"",""
1253028574266900000,"","","",so,"",""
1253029552290440000,-,-,-,fi,"",""
1253030303700070000,"","","",fi,"",""
1253031238820120000,"","","",fi,"",""
1253031689326150000,"","","",fi,"",""
1253032823147180000,0,"",0,fi,"",""
1253034016502100000,"","","",fi,"",""
1253034343284570000,"","","",fi,"",""
1253034457713590000,"",0,"",fi,"",""
1253034982861340000,"","","",fi,"",""
1253035484495870000,"","","","",NO FINN,""
1253035496005130000,"","","","","",""
1253037015735640000,"",0,0,fi,"",""
1253037438110500000,"","","",sw,x,""
1253037644302390000,"","","",fi,"",""
1253039569869690000,"","","",fi,"",""
1253041314867880000,"",+,"",fi,"",""
1253043533268860000,"","","",fi,"",""
1253043926371630000,"","","",fi,"",""
1253046556737050000,"","","",fi,"",""
1253046685137290000,"",0,"",fi,"",""
1253047861157210000,"","","",fi,"",""
1253048076652160000,"","","",fi,"",""
1253048475396330000,"","","",sw,"",""
1253048776480220000,"",0,"",fi,"",""
1253049564183050000,"",-,-,fi,"",""
1253049927015550000,"","","",fi,"",""
1253050803150980000,"","","","","",""
1253054884045360000,+,+,+,fi,"",""
1253059271316650000,"",0,"",fi,"",""
1253060028535370000,"","","",fi,"",""
1253061166215160000,"","","",mg,"",""
1253061671926540000,"","","","","",""
1253067524696090000,"",0,0,fi,"",""
1253067994193960000,"",+,"",fi,"",sarcasm
1253068391197360000,"",0,"","","",""
1253072314922680000,"","","",fi,"",""
1253073933848450000,"","","",sw,"",""
1253079883867210000,"","","",az,NO FINN,""
1253080929754630000,"",+,"",fi,"",""
1253087577311260000,"",0,"",fi,"",""
1253088683651200000,"","","",fi,"",""
1253088874366210000,"","","","","",""
1253096568598790000,"",0,"",fi,"",""
1253096876368440000,"","","","","",""
1253102319992000000,"",0,"",fi,"",""
1253103837025580000,"",0,"",fi,"",""
1253126614684070000,"","","",ga,NO FINN,""
1253139729601750000,"","","","","",""
1253158143812610000,"","","","","",""
1253159837862470000,"","","",hi-Latn,"",""
1253161855629100000,"","","",fi,"",""
1253162002979090000,+,+,+,fi,"",""
1253164049082320000,"",-,"",fi,"",""
1253164494869730000,"","","",fi,"",""
1253169933870990000,"","","","",NO FINN,""
1253172670578990000,"","","",fi,"",""
1253174829005630000,"","","",fi,"",""
1253177038720160000,"","","",fi,"",""
1253179213030610000,"","","",fi,"",""
1253179416026530000,"","","",fi,"",""
1253182310033360000,"",-,"",fi,"",""
1253183721622180000,"","","",fi,"",""
1253186787297510000,"","","","","",""
1253187890076700000,"","","",fi,"",""
1253191258564170000,"","","",fi,"",""
1253191285781020000,"","","",fi,"",""
1253193701930820000,"","","",fi,"",""
1253194716763620000,"","","",fi,"",""
1253196636546790000,"","","",fi,"",""
1253196781908820000,0,-,-,fi,"",""
1253197722393420000,-,0,-,fi,"",""
1253197772775460000,+,+,+,fi,"",""
1253198675792330000,"","","",fi,"",""
1253198991493410000,"",+,0,fi,"",""
1253201139987740000,"","","","",NO FINN,""
1253201184246170000,"",-,"",fi,"",""
1253201940982520000,"","","",fi,"",""
1253202200127570000,"","","",fi,"",""
1253202480739030000,"","","",fi,"",""
1253202897246000000,0,0,-,fi,"",""
1253203103404390000,"","","",fi,"",""
1253204534748380000,"",0,"",fi,"",""
1253204958821970000,0,+,0,fi,"",""
1253206360902320000,"","","",fi,"",""
1253206488555930000,"","","",fi,"",""
1253206748812410000,"","","",fi,"",""
1253206792617720000,+,+,0,fi,"",""
1253207689708090000,"","","",fi,"",""
1253209750474580000,"",0,"",fi,"",""
1253210811402610000,"","","","",x,""
1253210933582760000,"",0,-,fi,"",""
1253213138239060000,"","","",fi,"",""
1253213808253860000,-,-,-,fi,"",""
1253213859629970000,"","","",fi,"",""
1253214858985780000,"",0,"",fi,"",""
1253214957031890000,"","","",fi,"",""
1253215832987110000,"",-,"",fi,"",""
1253216635000960000,"",0,"",fi,"",""
1253217019803170000,"","","",fi,"",""
1253218197458890000,"","","",fi,"",""
1253218313519480000,"",-,"",fi,"",""
1253218592411330000,"",0,"",fi,"",""
1253219723258490000,"","","",fi,"",""
1253220289086760000,"","","","",NO FINN,""
1253220652133360000,"",+,"",fi,"",""
1253220935177360000,"","","",fi,"",""
1253221073983730000,"","","",sw,x,""
1253223266073880000,"","","",fi,"",""
1253224457067350000,"","","","","",""
1253225482398520000,"","","",fi,"",""
1253226178053370000,"","","",fi,"",""
1253226498930210000,"","","",fi,"",""
1253226527732480000,"",0,"",fi,"",""
1253228220700340000,0,+,+,fi,"",""
1253228417824240000,"","","",fi,"",""
1253229174011170000,"","","",fi,"",""
1253231639427260000,"",0,"",fi,"",""
1253232490438850000,"","","",fi,"",""
1253233670103750000,0,0,0,fi,"",""
1253234434146470000,"","","","","",""
1253235314350530000,"","","",ku,"",""
1253236718490270000,"","","",fi,"",""
1253237308209410000,0,-,-,fi,"",""
1253237658647780000,"","","",hi-Latn,"",""
1253238428805870000,"","","",fi,"",""
1253239277330350000,"",+,"",fi,"",""
1253239279289080000,"","","",fi,"",""
1253239863928900000,"","","",fi,"",""
1253240692379350000,+,+,+,fi,"",""
1253240966858840000,0,0,"",xh,fi,""
1253241349454910000,"",0,"",fi,"",""
1253241983616850000,"","","",fi,"",""
1253242441811080000,+,+,+,fi,"",""
1253242834410440000,"",+,"",fi,"",""
1253242945328880000,"","","",fi,"",""
1253243324921680000,"","","",fi,"",""
1253244338789900000,"","","",fi,"",""
1253244833151490000,"","","",fi,"",""
1253244958250880000,0,0,0,fi,"",""
1253245331661300000,"","","",sw,NO FINN,""
1253245640534040000,"",0,"",fi,"",""
1253246135407430000,"",0,"",fi,"",""
1253247000759470000,"","","",fi,"",""
1253247493401380000,0,0,-,fi,"",""
1253247510006700000,-,-,-,fi,"",""
1253248037092280000,0,0,0,fi,"",""
1253249567501560000,"","","",sw,"",""
1253250021849530000,"","","",fi,"",""
1253250623849540000,"","","",fi,"",""
1253251534412020000,-,-,-,fi,"",""
1253252153243600000,"","","","","",""
1253253050329940000,"","","",fi,"",""
1253253222376100000,"",0,"",fi,"",""
1253255043857380000,"","","","","",""
1253255405100120000,"","","",fi,"",""
1253255830973100000,0,"",0,fi,"",""
1253256315335520000,"","","",fi,"",""
1253256947790480000,"","","",fi,"",""
1253257329052660000,"","","",fi,"",""
1253257440356860000,"",+,"",fi,"",""
1253257726538510000,-,-,-,fi,"",""
1253258395186020000,-,-,-,fi,"",""
1253258576598120000,"","","",fi,"",""
1253258923584430000,"",0,"",fi,"",""
1253259492596300000,"","","",fi,"",""
1253259538729500000,"","","","","",""
1253259910231530000,"","","",fi,"",""
1253260348687340000,"","","",fi,"",""
1253260616569110000,"","","",fi,"",""
1253261181642520000,"","","",fi,"",""
1253261442624760000,"","","",fi,"",""
1253262544367760000,"",-,"",fi,"",""
1253262842058420000,"","","","",NO FINN,""
1253262967652720000,0,0,0,fi,"",""
1253263312982290000,"","","",fi,"",""
1253263445102900000,"","","",fi,"",""
1253264916628340000,"",0,"",fi,"",""
1253265102377190000,"","","",fi,"",""
1253266644178280000,"",0,"",fi,"",""
1253267398989360000,"","","",fi,"",""
1253267534146670000,"","","",fi,"",""
1253267589544970000,"","","",fi,"",""
1253267728615520000,"","","",fi,"",""
1253268003879370000,"","","",fi,"",""
1253268712439890000,-,0,0,fi,"",""
1253269296517660000,"",0,"",fi,"",""
1253269917257940000,+,+,0,fi,"",""
1253272013667480000,"","","",fi,"",""
1253272975794720000,"","","",fi,"",""
1253273176198600000,"","","",sw,x,""
1253273338677510000,"","","",sw,x,""
1253273661605220000,"",0,"",fi,"",""
1253273772687270000,"",+,"",fi,"",""
1253274777453650000,"","","",ha,NO FINN,""
1253274859913740000,"","","",fi,"",""
1253277075382900000,"","","",fi,"",""
1253277521635930000,"","","",fi,"",""
1253278776747790000,+,+,+,fi,"",""
1253279066112880000,+,+,+,fi,"",""
1253280004550600000,"","","",fi,"",""
1253280635223000000,"","","",sw,"",""
1253280783479050000,"","","",fi,"",""
1253280994142160000,"","","",fi,"",""
1253281037892960000,0,"",0,fi,"",""
1253282946171140000,"","","",fi,"",""
1253283217882390000,"","","","",NO FINN,""
1253284023348150000,"","","",fi,"",""
1253285287037460000,"","","",fi,"",""
1253286313996010000,-,-,-,fi,"",""
1253286881929940000,"","","",fi,"",""
1253288102019370000,"","","",fi,"",""
1253288585060590000,"","","",fi,"",""
1253289409136510000,0,-,-,fi,"",""
1253289634056100000,"","","",fi,"",""
1253293464722320000,"","","",fi,"",""
1253294392108040000,-,0,-,fi,"",""
1253296232887400000,"","","",fi,"",""
1253296467105710000,"","","","","",""
1253298081103340000,"",0,"",fi,"",""
1253299087518170000,"","","",fi,"",""
1253299201775210000,"","","","","",""
1253300873146630000,-,-,-,fi,"",""
1253301031930300000,"","","",fi,"",""
1253301624203850000,"",-,"",fi,"",""
1253302503107640000,"",0,0,fi,"",""
1253302543247130000,0,+,0,fi,"",""
1253302545230990000,"","","",fi,"",""
1253303800535930000,"","","","",NO FINN,""
1253305065458280000,"",0,"",fi,"",""
1253305244378940000,"","","",sw,no fin,""
1253306854513550000,0,0,0,fi,"",""
1253307504995580000,+,+,+,fi,"",""
1253308850163330000,"","","",fi,"",""
1253309610213220000,-,-,-,fi,"",""
1253311004353730000,"",0,-,fi,"",""
1253313322168000000,"","","",fi,"",""
1253314822680260000,"","","",fi,"",""
1253314940141600000,"",-,"",fi,"",""
1253315850620340000,"",0,"",fi,"",""
1253318130555860000,"",0,"",fi,"",""
1253318146397750000,"","","","","",""
1253318650326440000,"",+,"",fi,"",""
1253318799127800000,"","","",fi,"",""
1253322710559540000,"","","",fi,"",""
1253323979097470000,"","","",fi,"",""
1253323981840460000,"",+,"",fi,"",""
1253324141001770000,"","","",fi,"",""
1253324378298710000,"",0,"",fi,"",""
1253325841624230000,"","","",fi,"",""
1253328068665430000,"","","",fi,"",""
1253328576809590000,"","","","",NO FINN,""
1253329150493880000,"","","",fi,"",""
1253329329800380000,-,0,"","",part. fi,""
1253329757892040000,"","","",fi,"",""
1253330149971420000,-,-,-,fi,"",""
1253330950265560000,0,"",0,fi,"",""
1253332892895200000,0,"",0,fi,"",""
1253334199920030000,"","","",fi,"",""
1253335113179390000,"","","",fi,"",""
1253336973126720000,+,+,+,fi,"",""
1253337102281930000,0,"",0,fi,"",""
1253337288479660000,-,-,-,fi,"",""
1253338755701720000,"",0,"",fi,"",""
1253340485445270000,"","","",sn,"",""
1253340655792820000,"",0,"",fi,"",""
1253341685758560000,"","","","","",""
1253342434118920000,"","","","","",""
1253343015302810000,"","","",fi,"",""
1253344257957650000,"","","",fi,"",""
1253346587121800000,"",-,"",fi,"",""
1253347116241640000,"","","","",NO FINN,""
1253348394304700000,"","","",fi,"",""
1253350612084890000,"","","",sq,"",""
1253350857204210000,"","","",fi,"",""
1253351398781190000,"","","","","",""
1253351526317330000,"","","",fi,"",""
1253351964471190000,"","","",sw,NO FINN,""
1253352331959250000,"","","",fi,"",""
1253352598217860000,"","","",mg,"",""
1253352736801900000,"",+,"",fi,"",""
1253353542489990000,"",+,"",fi,"",""
1253354355153130000,-,0,0,fi,"",""
1253354484845210000,"",0,"",fi,"",""
1253354882372900000,"",+,"",fi,"",""
1253355155573050000,"",+,"",fi,"",""
1253356522337430000,"","","",sn,"",""
1253357205077840000,"","","",fi,"",""
1253357885586850000,"",-,-,fi,"",""
1253358959135690000,"",0,"",fi,"",""
1253359444068640000,"",+,"",fi,"",""
1253360122946030000,"","","",fi,"",""
1253361174122500000,"","","",fi,"",""
1253361815343550000,"","","",fi,"",""
1253362674135680000,"","","",fi,"",""
1253363579656570000,"","","",fi,"",""
1253365293751120000,"","","",fi,"",""
1253365297823830000,"",+,"",fi,"",""
1253367742033510000,"","","",fi,"",""
1253367915199580000,"","","",fi,"",""
1253370378682060000,"","","",fi,"",""
1253371594501760000,"","","",fi,"",""
1253372200528290000,"","","",fi,"",""
1253373330574450000,"",0,"",fi,"",""
1253373475349130000,"","","","",no fin,""
1253374145578090000,"","","",fi,"",""
1253376000810980000,"","","",fi,"",""
1253376572951880000,"",+,"",fi,"",""
1253381537862680000,"",+,"",fi,"",""
1253381682033460000,"","","","",NO FINN,""
1253381731605940000,"","","",fi,"",""
1253382225900590000,"","","",ny,"",""
1253384139501440000,"","","",fi,"",""
1253384943062970000,"","","",fi,"",""
1253385146914540000,"","","",fi,"",""
1253385709576240000,"","","","","",""
1253388121615600000,"","","",fi,"",""
1253389340929130000,"",0,0,fi,"",""
1253389684711080000,"","","",fi,"",""
1253390273943670000,"","","","",no fin,""
1253390387546330000,"",+,"",fi,"",""
1253390736608940000,"","","",fi,"",""
1253393321038430000,-,-,-,fi,"",""
1253393444355090000,-,-,-,fi,"",""
1253393485723560000,"","","",ku,NO FINN,""
1253394338371040000,"","","",fi,"",""
1253394452590330000,0,0,0,fi,"",""
1253394575844130000,"","","",fi,"",""
1253397532966900000,+,+,+,fi,"",""
1253397985251250000,"",0,"",fi,"",""
1253398114440010000,"",0,"",fi,"",""
1253399225859280000,"",+,"",fi,"",""
1253399546421550000,"","","",fi,"",""
1253399700646090000,"",+,"",fi,"",""
1253400218990760000,"",-,"",fi,"",""
1253400221092060000,"",+,"",fi,"",""
1253400822781830000,"",-,"",fi,"",""
1253404232885190000,"","","",fi,"",""
1253405048731770000,"","","",fi,"",""
1253405104650240000,-,-,-,fi,"",""
1253408103208330000,"","","",fi,"",""
1253408248465510000,"","","","","",""
1253408361170630000,"","","",fi,"",""
1253408718449830000,+,0,+,fi,"",""
1253410160715820000,"",0,-,fi,"",""
1253411649647550000,"",0,"",fi,"",""
1253411867688530000,"","","",fi,"",""
1253411879046620000,-,"",0,fi,"",""
1253418017947390000,"","","",fi,"",""
1253420561465610000,"","","",sw,NO FINN,""
1253420576099590000,"","","",fi,"",""
1253424153354370000,"","","",fi,"",""
1253428958688720000,"","","",fi,"",""
1253439090663370000,"","","",sn,"",""
1253442058045580000,"",+,"",fi,"",sarcasm
1253444772569780000,"","","",no,NO FINN,""
1253444973216890000,"",+,"",fi,"",""
1253446740021260000,"",-,"",fi,"",""
1253449841671240000,"","","",st,"",""
1253449868682630000,"","","",sw,x,""
1253451097613750000,"","","",fi,"",""
1253456912458360000,"","","",fi,"",""
1253457655823240000,"","","",ku,"",""
1253459999860370000,"","","","","",""
1253462455952590000,"",-,-,fi,"",""
1253466218515880000,"","","","","",""
1253466311595880000,"","","","","",""
1253466331627820000,"","","","","",""
1253488888238220000,"",-,"",fi,"",""
1253492404944070000,"","","",fi,"",""
1253500194982960000,"","","","","",""
1253501170741640000,"","","",fi,"",""
1253507073876410000,"","","","","",""
1253507889613900000,-,-,-,fi,"",""
1253520714814160000,"",-,-,fi,"",sarcasm
1253527759525210000,"","","",fi,x,""
1253538014246160000,"","","","","",""
1253538995985960000,"",+,"",fi,"",""
1253539265448990000,"",+,"",fi,"",""
1253540145661430000,"",0,"",fi,"",""
1253540546661970000,"","","",fi,"",""
1253542396706600000,+,+,+,fi,"",""
1253544054870160000,"","","",fi,"",""
1253544113913420000,"","","",sn,no fin,""
1253544331471930000,"","","","",NO FINN,""
1253546498836630000,-,+,-,fi,"",""
1253546741368010000,"","","",fi,"",""
1253547223499120000,"",0,"",fi,"",""
1253548381009560000,0,+,0,fi,"",""
1253549827494830000,"",0,"",fi,"",""
1253550171402560000,"","","","","",""
1253553629644160000,"","","",fi,"",""
1253554144511660000,"",0,"",fi,"",""
1253554200564450000,"","","",sw,no fin,""
1253554357649520000,"","","",fi,"",""
1253554392965480000,"","","",fi,"",""
1253555393076380000,"","","",fi,"",""
1253556146952180000,+,+,0,fi,"",""
1253556150584450000,"","","",sw,x,""
1253556341966280000,+,+,"","",fi,""
1253556378205120000,0,0,0,fi,"",""
1253556973435490000,"",0,"",fi,"",""
1253557930978310000,"",0,-,fi,"",""
1253558088721930000,0,"",0,fi,"",""
1253558196196840000,"","","",fi,"",""
1253558750532770000,"",+,"",fi,"",""
1253559894419970000,"","","",mt,"",""
1253560380166680000,"",+,"",fi,"",""
1253562134316920000,"","","",mg,NO FINN,""
1253564328764040000,+,+,+,fi,"",""
1253564426571120000,"",+,"",fi,"",""
1253564602153160000,0,0,"","",fi,""
1253567387619730000,+,+,+,fi,"",""
1253568091843370000,"","","",fi,"",""
1253568285410500000,"",0,"",fi,"",""
1253568429912720000,"","","",sw,"",""
1253568639481020000,"",-,"",fi,"",""
1253569012879040000,"","","",fi,"",""
1253569665600830000,"",0,"",fi,"",""
1253569712212060000,+,+,0,fi,"",""
1253572549427990000,"",-,0,fi,"",Both sentiments
1253574243230650000,"",-,"",fi,"",""
1253574418581750000,"","","","","",""
1253574458289370000,"",+,"",fi,"",""
1253575524670210000,0,-,-,fi,"",""
1253575909677970000,"",0,"",fi,"",""
1253576095665990000,"","","",fi,"",""
1253576227509560000,"","","","",NO FINN,""
1253577783751610000,"","","",fi,"",""
1253579141754040000,0,0,0,fi,"",""
1253579224805520000,"",0,"",fi,"",""
1253579348851990000,"",0,"",fi,"",""
1253581122698610000,-,-,0,fi,"",""
1253583030326790000,"","","",fi,"",""
1253583776384530000,"",0,"",fi,"",""
1253584338043790000,"","","",fi,"",""
1253585441682610000,"",0,"","","",""
1253587545310610000,"","","",fi,"",""
1253588223286080000,"",0,"",fi,"",""
1253588639822620000,"","","",fi,"",""
1253588646806110000,"","","",fi,"",""
1253591301938970000,"",+,"",fi,"",""
1253591661449490000,+,+,+,fi,"",""
1253592047979810000,"","","",fi,"",""
1253592131203190000,"","","",fi,"",""
1253593754293940000,0,-,0,fi,"",""
1253593886301270000,"","","",fi,"",""
1253594678114620000,"","","",fi,"",""
1253595667479450000,"","","","","",""
1253595754746310000,"","","",fi,"",""
1253597965597410000,"","","",fi,"",""
1253599306260660000,"","","",fi,"",""
1253599325852240000,"",-,"",fi,"",""
1253599928976390000,"","","",fi,"",""
1253600436256490000,"",-,"",fi,"",""
1253600503461820000,"","","",fi,"",""
1253600724199580000,"",0,"",fi,"",""
1253601581678950000,"",-,"",fi,"",""
1253601981840720000,"","","",fi,"",""
1253604326498600000,+,+,+,fi,"",""
1253605982808270000,"",0,"",fi,"",""
1253608649148290000,"","","",fi,"",""
1253610649034400000,"","","",fi,"",""
1253611463035560000,"",+,-,fi,"",""
1253612193217690000,"","","",fi,"",""
1253612562907880000,"","","",fi,"",""
1253613788596630000,"","","",fi,"",""
1253614416731550000,"",+,"",fi,"",""
1253614843669690000,"","","",fi,"",""
1253615750604040000,"","","",fi,"",""
1253616226674360000,"","","",fi,"",""
1253618344751760000,"","","",fi,"",""
1253619156198590000,"","","",fi,"",""
1253619372918300000,"",0,"",fi,"",""
1253621641743080000,"",-,"",fi,"",""
1253622279566770000,"","","",fi,"",""
1253623393678740000,"","","",fi,"",""
1253624144958190000,"","","","","",""
1253624268405070000,"","","",fi,"",""
1253624489092530000,-,-,-,fi,"",""
1253625154569150000,"","","","","",""
1253625241118620000,+,+,+,fi,"",""
1253628053592450000,0,"",0,fi,"",""
1253631078717420000,"","","",fi,"",""
1253632360941330000,"","","",fi,"",""
1253634417207250000,"","","",fi,"",""
1253634877825650000,"",0,"",fi,"",""
1253636600317310000,"",+,"",fi,"",""
1253638092772210000,"","","",fi,"",""
1253638214268710000,"",+,"",fi,"",""
1253639428737620000,"","","",fi,"",""
1253641292069900000,"",+,"",fi,"",""
1253642150308440000,+,+,+,fi,"",""
1253643045112770000,"","","",fi,"",""
1253643065790810000,"",+,"",fi,"",""
1253646084452360000,"","","",ku,"",""
1253646769961020000,"",0,"",fi,"",""
1253647212078400000,"","","",mg,"",""
1253647475967240000,"",0,"",fi,"",""
1253647679835510000,"","","",fi,"",""
1253648620118830000,"","","","","",""
1253649215122740000,"",-,"",fi,"",""
1253649308190200000,+,"",0,fi,"",""
1253649938585660000,0,-,-,fi,"",""
1253650169276530000,"","","",fi,"",""
1253650387988560000,"","","",fi,"",""
1253652120080970000,"","","",fi,"",""
1253652577515860000,"","","",ku,"",""
1253652722546510000,"","","",fi,"",""
1253653050260110000,+,+,0,fi,"",""
1253655321958070000,"",0,"",fi,"",""
1253657045091450000,"",0,"",fi,"",""
1253657060316680000,"","","",fi,"",""
1253657783125180000,"","","",fi,"",""
1253657882043850000,"","","",fi,"",""
1253659423370770000,"","","",fi,"",""
1253662686581330000,"",0,"",fi,"",""
1253662697691980000,"","","",fi,"",""
1253662714158870000,"","","",fi,"",""
1253663244838770000,+,+,+,fi,"",""
1253663561613600000,"","","","","",""
1253665224743420000,"",-,"",fi,"",""
1253667662607120000,"","","",fi,"",""
1253668040966800000,"",0,"",fi,"",""
1253668687342710000,"",+,+,fi,"",""
1253669586978800000,"","","",xh,"",""
1253671926247160000,"",0,"",fi,"",""
1253672127313710000,+,+,+,fi,"",""
1253674521153980000,"","","",fi,"",""
1253674709188780000,"","","",so,NO FINN,""
1253676156244710000,"","","",fi,"",""
1253676334548750000,"",-,"",fi,"",""
1253676345491670000,"","","",fi,"",""
1253676799248270000,"",+,"",fi,"",""
1253678526663970000,"",0,"",fi,"",""
1253679522937030000,0,0,0,fi,"",""
1253679650536070000,"","","",fi,"",""
1253679776147090000,"","","",fi,"",""
1253680151931620000,"","","","",NO FINN,""
1253680446128480000,"",+,0,fi,"",Sarcasm
1253681596252730000,"","","",fi,"",""
1253683271709410000,"","","",sw,"",""
1253683958853800000,"","","",fi,"",""
1253684086952120000,"","","",fi,"",""
1253684126315700000,"","","",fi,"",""
1253686073370330000,"","","",fi,"",""
1253687813591260000,"",+,"",fi,"",sarcasm
1253687992155290000,"",-,"",fi,"",""
1253688073533170000,"","","",fi,"",""
1253688812645090000,"","","",fi,"",""
1253689056896130000,"","","",fi,"",""
1253689177931050000,"","","",fi,"",""
1253689442604330000,"","","",fi,"",""
1253689775770520000,"","","",fi,"",""
1253690895704230000,"",0,"",fi,"",""
1253691680022300000,"",0,"",fi,"",""
1253692343372430000,0,+,+,fi,"",""
1253692541482010000,"","","",so,"",""
1253694094582270000,"","","","",not FIN,not FIN?
1253699828045010000,0,0,0,fi,"",""
1253699961562300000,"","","",fi,"",""
1253700710635470000,"",+,"",fi,"",sarcasm
1253701279995650000,"","","",fi,"",""
1253705379105640000,"","","",fi,"",""
1253705855654130000,-,+,0,fi,"",""
1253706216041320000,"","","","","",""
1253706768544340000,"","","",el-Latn,"",""
1253707110308770000,+,+,-,fi,"",""
1253707468997300000,"","","",fi,"",""
1253707697637200000,-,-,-,fi,"",""
1253709389334280000,-,0,-,fi,"",""
1253710848830460000,"","","",fi,"",""
1253710944548630000,"","","","","",""
1253711342718120000,"","","",fi,"",""
1253712202688860000,-,-,-,fi,"",""
1253712403713460000,"",+,"",fi,"",""
1253714212876060000,"","","",fi,"",""
1253714822178450000,"",-,"",fi,"",""
1253715005796770000,+,+,+,fi,"",""
1253715838022180000,-,-,-,fi,"",""
1253715860667210000,"","","",fi,"",""
1253716556875530000,"","","",so,"",""
1253720193383180000,"",0,"",fi,"",""
1253720469376770000,"","","",fi,"",""
1253720786243900000,"","","","",NO FINN,""
1253721220144670000,"","","",fi,"",""
1253722701287630000,"","","","","",""
1253723045728070000,"",+,"",fi,"",sarcasm
1253724138008650000,-,0,0,fi,"",""
